28, country, Greenland
28, population, 56973
28, cases, new, None
28, cases, active, 9189
28, cases, critical, 4
28, cases, recovered, 2761
28, cases, 1M_pop, 210117
28, cases, total, 11971
28, deaths, new, None
28, deaths, 1M_pop, 369
28, deaths, total, 21
28, tests, 1M_pop, 2894810
28, tests, total, 164926
28, day, 2024-03-25
28, time, 2024-03-25T09:45:16+00:00
29, continent, Africa
29, country, Eritrea
29, population, 3662244
29, cases, new, None
29, cases, active, 0
29, cases, critical, None
29, cases, recovered, 10086
29, cases, 1M_pop, 2782
29, cases, total, 10189
29, deaths, new, None
29, deaths, 1M_pop, 28
29, deaths, total, 103
29, tests, 1M_pop, 6470
29, tests, total, 23693
29, day, 2024-03-25
29, time, 2024-03-25T09:45:16+00:00
30, continent, Africa
30, country, Niger
30, population, 26083660
30, cases, new, None
30, cases, active, 729
30, cases, critical, 1
30, cases, recovered, 8890
30, cases, 1M_pop, 381
30, cases, total, 9931
30, deaths, new, None
30, deaths, 1M_pop, 12
30, deaths, total, 312
30, tests, 1M_pop, 9759
30, tests, total, 254538
30, day, 2024-03-25
30, time, 2024-03-25T09:45:16+00:00
31, continent, North-America
31, country, Caribbean-Netherlands
31, population, 26647
31, cases, new, +3
31, cases, active, 1168
31, cases, critical, None
31, cases, recovered, 10476
31, cases, 1M_pop, 438398
31, cases, total, 11682
31, deaths, new, None
31, deaths, 1M_pop, 1426
31, deaths, total, 38
31, tests, 1M_pop, 1130559
31, tests, total, 30126
31, day, 2024-03-25
31, time, 2024-03-25T09:45:16+00:00
32, continent, Africa
32, country, Gambia
32, population, 2558482
32, cases, new, +28
32, cases, active, 65
32, cases, critical, None
32, cases, recovered, 12189
32, cases, 1M_pop, 4935
32, cases, total, 12626
32, deaths, new, None
32, deaths, 1M_pop, 145
32, deaths, total, 372
32, tests, 1M_pop, 60851
32, tests, total, 155686
32, day, 2024-03-25
32, time, 2024-03-25T09:45:16+00:00
33, continent, Africa
33, country, Comoros
33, population, 907419
33, cases, new, None
33, cases, active, 9
33, cases, critical, None
33, cases, recovered, 8939
33, cases, 1M_pop, 10038
33, cases, total, 9109
33, deaths, new, None
33, deaths, 1M_pop, 177
33, deaths, total, 161
